Date,Value
2019-02-01,60.96
2019-01-31,61.19
2019-01-30,60.93
2019-01-29,59.71
2019-01-28,59.57
2019-01-25,60.9
2019-01-24,60.22
2019-01-23,60.52
2019-01-22,60.66
2019-01-21,61.49
2019-01-18,60.9
2019-01-17,59.63
2019-01-16,59.52
2019-01-15,58.24
2019-01-14,58.39
2019-01-11,60.0
2019-01-10,59.46
2019-01-09,58.22
2019-01-08,56.09
2019-01-07,56.42
2019-01-04,55.13
2019-01-03,52.93
2019-01-02,52.14
2018-12-28,51.55
2018-12-27,52.35
2018-12-26,50.11
2018-12-21,52.64
2018-12-20,53.92
2018-12-19,55.13
2018-12-18,56.08
2018-12-17,58.24
2018-12-14,59.07
2018-12-13,58.67
2018-12-12,59.2
2018-12-11,58.57
2018-12-10,59.72
2018-12-07,59.2
2018-12-06,58.79
2018-12-05,60.08
2018-12-04,61.09
2018-12-03,60.57
2018-11-30,58.33
2018-11-29,58.09
2018-11-28,59.25
2018-11-27,59.05
2018-11-26,59.29
2018-11-23,60.27
2018-11-22,62.08
2018-11-21,62.33
2018-11-20,64.02
2018-11-19,65.46
2018-11-16,66.0
2018-11-15,65.28
2018-11-14,64.51
2018-11-13,67.01
2018-11-12,69.82
2018-11-09,68.89
2018-11-08,70.68
2018-11-07,70.63
2018-11-06,70.88
2018-11-05,71.45
2018-11-02,71.35
2018-11-01,72.64
2018-10-31,75.24
2018-10-30,75.51
2018-10-29,76.07
2018-10-26,75.71
2018-10-25,75.33
2018-10-24,75.04
2018-10-23,77.11
2018-10-22,78.68
2018-10-19,78.15
2018-10-18,78.25
2018-10-17,79.5
2018-10-16,79.02
2018-10-15,79.31
2018-10-12,79.36
2018-10-11,80.14
2018-10-10,82.6
2018-10-09,83.17
2018-10-08,81.88
2018-10-05,83.24
2018-10-04,84.09
2018-10-03,83.64
2018-10-02,83.28
2018-10-01,81.58
2018-09-28,81.48
2018-09-27,80.88
2018-09-26,81.58
2018-09-25,80.44
2018-09-24,78.81
2018-09-21,77.08
2018-09-20,77.13
2018-09-19,77.06
2018-09-18,76.09
2018-09-17,76.19
2018-09-14,76.05
2018-09-13,76.46
2018-09-12,77.16
2018-09-11,76.02
2018-09-10,75.2
2018-09-07,74.17
2018-09-06,74.51
2018-09-05,75.18
2018-09-04,76.32
2018-09-03,75.77
2018-08-31,75.74
2018-08-30,75.72
2018-08-29,74.48
2018-08-28,74.75
2018-08-27,74.09
2018-08-24,74.02
2018-08-23,73.01
2018-08-22,71.75
2018-08-21,71.01
2018-08-20,70.64
2018-08-17,70.27
2018-08-16,69.47
2018-08-15,69.77
2018-08-14,71.33
2018-08-13,70.97
2018-08-10,70.6
2018-08-09,72.03
2018-08-08,72.1
2018-08-07,72.49
2018-08-06,72.18
2018-08-03,71.98
2018-08-02,71.52
2018-08-01,72.0
2018-07-31,73.62
2018-07-30,73.53
2018-07-27,73.69
2018-07-26,73.62
2018-07-25,72.87
2018-07-24,72.01
2018-07-23,71.85
2018-07-20,71.57
2018-07-19,70.91
2018-07-18,69.98
2018-07-17,70.38
2018-07-16,71.9
2018-07-13,72.15
2018-07-12,72.15
2018-07-11,74.4
2018-07-10,76.34
2018-07-09,75.23
2018-07-06,74.5
2018-07-05,75.21
2018-07-04,75.38
2018-07-03,74.96
2018-07-02,75.61
2018-06-29,75.68
2018-06-28,74.86
2018-06-27,74.31
2018-06-26,72.69
2018-06-25,72.16
2018-06-22,71.89
2018-06-21,70.96
2018-06-20,72.49
2018-06-19,71.88
2018-06-18,71.1
2018-06-15,72.8
2018-06-14,73.81
2018-06-13,73.36
2018-06-12,74.12
2018-06-11,73.97
2018-06-08,74.23
2018-06-07,73.63
2018-06-06,73.07
2018-06-05,72.8
2018-06-04,73.57
2018-06-01,74.25
2018-05-31,75.18
2018-05-30,73.73
2018-05-29,72.91
2018-05-28,73.37
2018-05-25,74.87
2018-05-24,76.62
2018-05-23,76.43
2018-05-22,77.19
2018-05-21,76.22
2018-05-18,76.47
2018-05-17,76.76
