timestamp,open,high,low,close,volume
2019-03-13,0.0000,0.0000,0.0000,1.9700,0
2016-12-07,1.9700,1.9700,1.9700,1.9700,0
2016-12-06,1.9700,1.9700,1.9700,1.9700,0
2016-12-05,1.9700,1.9700,1.9700,1.9700,0
2016-12-02,1.9700,1.9700,1.9700,1.9700,0
2016-12-01,1.9700,1.9700,1.9700,1.9700,0
2016-11-30,1.9700,1.9700,1.9700,1.9700,0
2016-11-29,1.9700,1.9700,1.9700,1.9700,0
2016-11-28,1.9100,1.9200,1.8528,1.8700,76873
2016-11-25,1.9100,1.9200,1.8528,1.8700,76873
2016-11-23,1.8600,1.9200,1.7900,1.9000,141262
2016-11-22,1.9000,1.9300,1.8900,1.8900,141793
2016-11-21,1.8900,1.9300,1.8800,1.8900,79874
2016-11-18,1.9300,1.9400,1.8600,1.8900,195563
2016-11-17,1.8900,1.9300,1.8600,1.9100,214246
2016-11-16,1.8500,1.8900,1.8000,1.8700,112829
2016-11-15,1.8100,1.9000,1.7500,1.8400,229496
2016-11-14,1.8700,1.9000,1.7764,1.8200,218175
2016-11-11,1.8200,1.8500,1.7700,1.8300,212843
2016-11-10,1.8500,1.8500,1.7100,1.8000,292910
2016-11-09,1.7100,1.7800,1.6900,1.7500,217649
2016-11-08,1.7400,1.7700,1.6300,1.6900,402452
2016-11-07,1.8000,1.8500,1.5000,1.6000,1085921
2016-11-04,1.6100,1.8000,1.6100,1.7500,268420
2016-11-03,1.7200,1.7400,1.6100,1.6400,158417
2016-11-02,1.7700,1.7700,1.6200,1.6700,185838
2016-11-01,1.7100,1.8200,1.7000,1.7400,140650
2016-10-31,1.8600,1.8600,1.7200,1.7200,230256
2016-10-28,1.9400,1.9400,1.8200,1.8300,301403
2016-10-27,2.0100,2.0500,1.8600,1.9000,154605
2016-10-26,2.0100,2.0600,1.9600,2.0100,128721
2016-10-25,2.0800,2.0800,2.0000,2.0100,178152
2016-10-24,2.2100,2.2300,2.0500,2.0700,304933
2016-10-21,2.2200,2.2200,2.1500,2.2100,180729
2016-10-20,2.1200,2.2100,2.0300,2.1900,186240
2016-10-19,2.0100,2.1500,1.9800,2.1300,597995
2016-10-18,2.1500,2.1756,1.9300,2.0100,391313
2016-10-17,2.0700,2.0700,1.9800,1.9900,287305
2016-10-14,2.2100,2.2400,2.0600,2.0900,446182
2016-10-13,2.3200,2.4254,2.1400,2.1700,463349
2016-10-12,2.5200,2.5500,2.3200,2.3300,311798
2016-10-11,2.6100,2.6900,2.5100,2.5100,170912
2016-10-10,2.5800,2.6700,2.5700,2.6100,231023
2016-10-07,2.7900,2.8200,2.5400,2.5700,506287
2016-10-06,2.8900,2.8900,2.7200,2.7900,209200
2016-10-05,2.6700,2.9000,2.5510,2.8600,372186
2016-10-04,2.9500,2.9500,2.6500,2.7500,365627
2016-10-03,2.9700,2.9900,2.8700,2.9500,324124
2016-09-30,3.0300,3.1000,2.6900,2.9700,994318
2016-09-29,3.3300,3.3500,2.9300,3.0600,6304155
2016-09-28,2.8000,2.8400,2.3900,2.4900,914501
2016-09-27,2.6400,2.8000,2.5300,2.7500,455852
2016-09-26,2.8000,2.9000,2.5301,2.6500,785069
2016-09-23,2.6500,2.8200,2.6100,2.7500,792644
2016-09-22,2.3600,2.8500,2.3200,2.6500,2515338
2016-09-21,2.3700,2.5000,2.1400,2.3200,997043
2016-09-20,1.8900,2.4400,1.8750,2.3700,2328614
2016-09-19,1.8200,1.8900,1.7700,1.8600,348585
2016-09-16,1.8200,1.8400,1.7500,1.7800,258354
2016-09-15,1.7900,1.8200,1.7600,1.8200,196887
2016-09-14,1.7800,1.8700,1.7000,1.7400,274850
2016-09-13,1.7500,1.8000,1.7000,1.7700,502132
2016-09-12,1.6200,1.7800,1.6000,1.7100,692167
2016-09-09,1.5300,1.6600,1.5200,1.6300,408760
2016-09-08,1.5500,1.5800,1.5100,1.5400,208694
2016-09-07,1.5800,1.6200,1.5500,1.5500,138406
2016-09-06,1.6000,1.6500,1.5600,1.5800,103639
2016-09-02,1.5800,1.6500,1.5700,1.6000,94717
2016-09-01,1.6000,1.6500,1.5600,1.5900,113592
2016-08-31,1.6000,1.6500,1.5900,1.6300,134665
2016-08-30,1.6400,1.6900,1.6000,1.6200,69225
2016-08-29,1.6100,1.6500,1.5500,1.6400,171572
2016-08-26,1.6000,1.6200,1.5500,1.6000,129205
2016-08-25,1.7300,1.7700,1.5600,1.6000,398477
2016-08-24,1.6800,1.8500,1.6500,1.7400,875726
2016-08-23,1.5500,1.7100,1.5300,1.6900,496379
2016-08-22,1.5200,1.5700,1.5200,1.5600,34372
2016-08-19,1.5500,1.5800,1.5000,1.5300,86207
2016-08-18,1.5500,1.5800,1.5100,1.5500,69646
2016-08-17,1.5600,1.5900,1.5400,1.5600,79996
2016-08-16,1.5600,1.6000,1.5500,1.5600,132481
2016-08-15,1.5700,1.6000,1.5550,1.5700,119223
2016-08-12,1.5400,1.6000,1.5300,1.5700,159879
2016-08-11,1.5800,1.6000,1.5000,1.5500,121690
2016-08-10,1.5900,1.6200,1.5500,1.5800,174486
2016-08-09,1.5100,1.5900,1.4900,1.5800,273371
2016-08-08,1.5400,1.5600,1.5100,1.5400,107797
2016-08-05,1.5200,1.5700,1.4500,1.5300,252393
2016-08-04,1.5300,1.5700,1.4700,1.5100,258730
2016-08-03,1.4500,1.5300,1.4356,1.4900,190681
2016-08-02,1.4800,1.4900,1.4200,1.4400,160664
2016-08-01,1.4500,1.5100,1.4200,1.4700,128909
2016-07-29,1.4600,1.5090,1.4200,1.4400,280271
2016-07-28,1.5300,1.5300,1.4600,1.4700,188294
2016-07-27,1.4100,1.5500,1.4100,1.5500,417021
2016-07-26,1.4800,1.5100,1.4300,1.4400,134343
2016-07-25,1.4700,1.5000,1.4200,1.4700,144450
2016-07-22,1.4800,1.5000,1.4600,1.4600,160246
2016-07-21,1.5400,1.5900,1.4600,1.4900,278654
2016-07-20,1.5000,1.5400,1.4700,1.5300,118825
2016-07-19,1.5000,1.5700,1.4800,1.4800,138473
2016-07-18,1.5100,1.5900,1.4816,1.5100,142927
2016-07-15,1.5500,1.5800,1.4500,1.5100,395036
2016-07-14,1.5900,1.6699,1.5500,1.5500,153594
2016-07-13,1.6200,1.6500,1.5700,1.5800,213630
2016-07-12,1.6300,1.6794,1.5400,1.6100,304101
2016-07-11,1.6900,1.7000,1.6200,1.6200,268406
2016-07-08,1.6600,1.7500,1.6500,1.6700,563553
2016-07-07,1.5400,1.6800,1.5400,1.6500,568037
2016-07-06,1.4600,1.5500,1.4400,1.5400,225583
2016-07-05,1.5800,1.6100,1.4300,1.4700,458050
2016-07-01,1.4900,1.6200,1.4400,1.5800,459378
2016-06-30,1.5100,1.5500,1.4500,1.4900,342136
2016-06-29,1.4500,1.5600,1.4500,1.5100,395899
2016-06-28,1.4300,1.5200,1.4100,1.4700,357161
