timestamp,open,high,low,close,volume
2019-03-14,4.4300,4.4300,4.1500,4.1500,793
2019-03-13,4.5000,4.5800,4.5000,4.5200,879
2019-03-12,4.5200,4.5200,4.5000,4.5000,2304
2019-03-11,4.6000,4.7000,4.5200,4.5426,1375
2019-03-08,4.5500,4.8300,4.5400,4.7600,5133
2019-03-07,4.5500,4.5500,4.5500,4.5500,464
2019-03-06,4.7609,4.7609,4.7609,4.7609,130
2019-03-05,4.8100,4.9100,4.5700,4.8800,16770
2019-03-04,4.6300,4.6300,4.6300,4.6300,1627
2019-03-01,4.7000,4.7000,4.4100,4.4100,32410
2019-02-28,4.4500,4.8500,4.3770,4.4823,16860
2019-02-27,4.4500,4.4500,4.4500,4.4500,716
2019-02-26,4.6000,4.6000,4.5500,4.5780,2212
2019-02-25,4.7120,4.7120,4.7120,4.7120,365
2019-02-22,4.6000,4.9000,4.5999,4.6000,26739
2019-02-21,4.5000,4.6700,4.4823,4.5800,10325
2019-02-20,4.6600,4.7158,4.6600,4.7158,451
2019-02-19,4.5200,4.6688,4.4700,4.6688,421
2019-02-15,4.6300,4.6300,4.5400,4.5600,803
2019-02-14,4.6400,4.6520,4.5900,4.6520,500
2019-02-13,4.6973,4.6973,4.6973,4.6973,38
2019-02-12,4.6100,4.7200,4.5400,4.6973,3340
2019-02-11,4.5000,4.5900,4.4650,4.5600,4875
2019-02-08,4.6847,4.7175,4.6300,4.7175,2395
2019-02-07,4.6600,4.8000,4.4120,4.8000,7631
2019-02-06,4.9200,5.0039,4.6709,4.8600,11776
2019-02-05,4.7052,5.3000,4.6806,5.0528,25828
2019-02-04,4.3000,4.3000,4.3000,4.3000,41
2019-02-01,4.4900,4.5000,4.3000,4.3000,1952
2019-01-31,4.3600,4.3600,4.1248,4.3100,1978
2019-01-30,5.0100,5.0100,4.3800,4.3800,2857
2019-01-29,4.6500,4.7380,4.6175,4.7100,1012
2019-01-28,4.4325,4.4325,4.4325,4.4325,484
2019-01-25,4.4500,4.4500,4.4500,4.4500,247
2019-01-24,4.5500,4.6591,4.5500,4.5700,6125
2019-01-23,4.8500,4.9400,4.7935,4.7935,1155
2019-01-22,4.7500,4.8200,4.7300,4.7300,6132
2019-01-18,5.4800,5.5000,5.4800,5.5000,406
2019-01-17,5.2380,5.2380,5.2380,5.2380,3
2019-01-16,5.0200,5.2380,5.0200,5.2380,856
2019-01-15,5.3000,5.3000,5.0800,5.0800,2225
2019-01-14,5.2600,5.2966,5.1500,5.2300,3842
2019-01-11,5.7000,5.9000,5.5700,5.5700,8395
2019-01-10,6.5800,6.5800,6.5800,6.5800,18
2019-01-09,6.5800,6.5800,6.5800,6.5800,19
2019-01-08,6.5800,6.5800,6.5800,6.5800,112
2019-01-07,6.8000,6.8200,6.8000,6.8200,304
2019-01-04,5.9000,5.9000,5.9000,5.9000,484
2019-01-03,5.9312,5.9312,5.9312,5.9312,29
2019-01-02,5.9312,5.9312,5.9312,5.9312,7
2018-12-31,5.8900,5.9312,5.8900,5.9312,957
2018-12-28,6.0300,6.1500,6.0000,6.1500,3530
2018-12-27,5.7668,5.9912,5.7600,5.9912,637
2018-12-26,5.9200,6.2900,5.7101,5.8271,3960
2018-12-24,5.6000,5.6000,4.6400,5.1500,6351
2018-12-21,5.5800,5.5800,5.5800,5.5800,177
2018-12-20,5.9300,5.9300,5.5400,5.7200,4856
2018-12-19,6.2000,6.5000,6.2000,6.4199,1083
2018-12-18,6.8400,6.8500,6.6696,6.8500,380
2018-12-17,7.1800,7.1800,7.0000,7.0000,1414
2018-12-14,7.9500,7.9500,7.5878,7.9400,2503
2018-12-13,8.0868,8.0868,7.6732,7.6732,730
2018-12-12,7.9365,7.9400,7.9365,7.9400,569
2018-12-11,7.4000,7.4000,7.4000,7.4000,0
2018-12-10,7.7800,7.8000,7.2400,7.4000,8512
2018-12-07,7.5000,7.5000,7.2973,7.3000,1834
2018-12-06,7.2400,7.2600,7.2400,7.2600,285
2018-12-04,7.9700,7.9700,7.9700,7.9700,154
2018-12-03,8.4400,8.4400,8.4400,8.4400,340
2018-11-30,9.0350,9.0350,9.0350,9.0350,11
2018-11-29,9.0350,9.0350,9.0350,9.0350,148
2018-11-28,9.1600,9.1600,9.1225,9.1225,737
2018-11-27,9.1800,9.1800,9.1800,9.1800,12
2018-11-26,8.9500,9.1800,8.9500,9.1800,377
2018-11-23,9.4800,9.4800,9.2100,9.2300,1115
2018-11-21,9.8100,9.8400,9.8100,9.8400,786
2018-11-20,9.9600,9.9600,9.6480,9.7000,1583
2018-11-19,10.9600,11.1300,10.9400,11.0600,2557
2018-11-16,10.3000,10.3000,10.3000,10.3000,57
2018-11-15,10.3800,10.3800,10.3000,10.3000,736
2018-11-14,10.4000,10.4000,10.4000,10.4000,219
2018-11-13,10.5200,10.5500,10.5200,10.5500,525
2018-11-12,10.6100,10.9304,10.1505,10.1505,6834
2018-11-09,10.0900,10.1550,10.0900,10.1100,3110
2018-11-08,9.2500,9.2500,9.2500,9.2500,180
2018-11-07,9.2500,9.2500,9.2500,9.2500,0
2018-11-06,9.2500,9.2500,9.2500,9.2500,15
2018-11-05,9.5700,9.5700,9.2500,9.2500,995
2018-11-02,9.7530,9.7530,9.7530,9.7530,447
2018-11-01,9.5300,9.5923,9.5100,9.5923,3040
2018-10-31,9.0200,9.0200,9.0200,9.0200,116
2018-10-30,9.9319,9.9319,8.9500,8.9500,294
2018-10-29,9.0500,9.3500,9.0500,9.0500,600
2018-10-26,8.3800,8.3800,8.3800,8.3800,58
2018-10-25,8.5499,8.6100,8.3601,8.3800,8022
2018-10-24,8.4700,8.4700,8.4600,8.4600,241
2018-10-23,8.2690,8.2690,8.2690,8.2690,300
2018-10-22,9.0000,9.0000,9.0000,9.0000,101
2018-10-19,9.0470,9.0470,9.0470,9.0470,361
2018-10-18,8.8200,8.8200,8.8200,8.8200,10
2018-10-17,8.7400,8.9900,8.7400,8.8200,820
2018-10-16,9.0000,9.0000,9.0000,9.0000,334
2018-10-15,9.2400,9.3347,8.9700,9.3347,1849
2018-10-12,9.0000,9.2852,9.0000,9.1600,1735
2018-10-11,9.0450,9.0450,9.0450,9.0450,172
2018-10-10,9.3916,9.3916,9.3916,9.3916,902
2018-10-09,9.5887,9.5887,9.5887,9.5887,10
2018-10-08,9.5900,9.5900,9.5900,9.5900,18
2018-10-05,9.9700,9.9700,9.5887,9.5887,2112
