timestamp,open,high,low,close,volume
2019-03-14,3.2300,3.2300,3.0045,3.0500,60579
2019-03-13,3.2500,3.3500,3.1500,3.2300,99637
2019-03-12,3.9000,3.9000,3.0400,3.1400,356146
2019-03-11,3.6000,3.9900,3.6000,3.9400,151672
2019-03-08,3.4800,3.7300,3.4400,3.7049,132335
2019-03-07,3.4600,3.4800,3.3336,3.4400,35670
2019-03-06,3.1500,3.3400,3.1500,3.3400,35202
2019-03-05,3.3100,3.3900,3.1900,3.2300,68094
2019-03-04,3.4700,3.4900,3.2305,3.3800,74150
2019-03-01,3.5900,3.5900,3.3700,3.4500,28308
2019-02-28,3.5800,3.6000,3.4500,3.5300,32848
2019-02-27,3.4200,3.5789,3.3350,3.5200,61102
2019-02-26,3.3000,3.5000,3.2200,3.3800,42088
2019-02-25,3.5400,3.5400,3.1100,3.3300,198392
2019-02-22,3.6800,3.6800,3.4500,3.5630,54363
2019-02-21,3.6400,3.7500,3.4002,3.6800,86233
2019-02-20,3.4200,3.6416,3.4200,3.6000,131658
2019-02-19,3.2400,3.4500,3.2201,3.3800,86518
2019-02-15,3.1700,3.2500,3.1300,3.2410,82459
2019-02-14,3.0100,3.1700,3.0100,3.1000,37707
2019-02-13,2.9700,3.1200,2.9300,3.0100,30655
2019-02-12,3.1000,3.1190,2.8900,2.9900,48557
2019-02-11,2.8100,3.0673,2.8100,3.0000,150151
2019-02-08,2.7764,2.8000,2.7581,2.8000,30130
2019-02-07,2.8200,2.8300,2.7000,2.7000,92522
2019-02-06,2.7100,2.7100,2.5700,2.6600,18238
2019-02-05,2.6300,2.7154,2.6000,2.6400,130830
2019-02-04,2.4700,2.6200,2.4700,2.5652,111863
2019-02-01,2.4500,2.5200,2.4201,2.4700,45796
2019-01-31,2.4000,2.5200,2.4000,2.4000,50903
2019-01-30,2.4200,2.4600,2.4100,2.4600,10218
2019-01-29,2.2400,2.4500,2.2400,2.4200,43457
2019-01-28,2.2500,2.3700,2.2400,2.2400,33346
2019-01-25,2.3160,2.3900,2.2300,2.2599,56544
2019-01-24,2.3000,3.1000,2.2800,2.3100,649443
2019-01-23,2.3300,2.3300,2.2300,2.2300,36906
2019-01-22,2.2600,2.3300,2.2600,2.3000,13135
2019-01-18,2.2600,2.3300,2.1901,2.2400,13651
2019-01-17,2.3000,2.3050,2.2700,2.3000,4105
2019-01-16,2.3200,2.3200,2.2300,2.2300,21850
2019-01-15,2.2600,2.3200,2.2200,2.2800,54482
2019-01-14,2.2400,2.2800,2.2100,2.2200,8402
2019-01-11,2.1971,2.2400,2.1971,2.2300,1902
2019-01-10,2.1800,2.2500,2.1500,2.2500,4302
2019-01-09,2.2046,2.2500,2.1600,2.1600,13978
2019-01-08,2.2007,2.2600,2.2000,2.2200,3088
2019-01-07,2.1900,2.2600,2.1254,2.1600,12761
2019-01-04,2.1400,2.1838,2.0400,2.1838,662
2019-01-03,2.2000,2.2000,2.1300,2.1300,5041
2019-01-02,2.2400,2.2500,2.1400,2.2000,1400
