timestamp,open,high,low,close,volume
2019-03-14,1.5100,1.6399,1.4901,1.5600,215789
2019-03-13,1.5900,1.6000,1.5000,1.5200,121639
2019-03-12,1.7300,1.7800,1.5600,1.6000,186369
2019-03-11,1.4600,1.7900,1.4300,1.7300,491369
2019-03-08,1.5400,1.5400,1.3305,1.4200,369819
2019-03-07,1.8800,1.8800,1.5500,1.5700,461139
2019-03-06,1.8700,1.9800,1.8100,1.8500,439352
2019-03-05,2.0500,2.1400,1.8000,1.9500,1693251
2019-03-04,1.3400,2.2300,1.3400,2.2300,6493296
2019-03-01,1.1674,1.4700,1.1674,1.3100,341251
2019-02-28,1.2400,1.2629,1.1500,1.1600,128136
2019-02-27,1.2100,1.3000,1.2100,1.2400,83278
2019-02-26,1.2600,1.3900,1.1800,1.2100,342786
2019-02-25,1.1800,1.4000,1.1600,1.3000,651920
2019-02-22,1.0500,1.1500,1.0500,1.1300,225444
2019-02-21,1.0900,1.0900,1.0100,1.0500,9822
2019-02-20,1.0600,1.1000,1.0000,1.0500,139416
2019-02-19,1.0200,1.0800,1.0179,1.0400,74261
2019-02-15,1.0200,1.0300,0.9970,1.0200,35349
2019-02-14,1.0500,1.0700,1.0100,1.0200,55479
2019-02-13,1.0200,1.0800,1.0120,1.0700,24982
2019-02-12,0.9970,1.0900,0.9700,1.0000,38606
2019-02-11,1.0200,1.0500,0.9608,0.9608,15402
2019-02-08,1.0095,1.0400,0.9799,0.9953,24871
2019-02-07,1.0700,1.0700,1.0000,1.0100,41741
2019-02-06,1.0400,1.0900,1.0400,1.0700,10334
2019-02-05,1.0488,1.0489,1.0231,1.0400,7998
2019-02-04,1.0200,1.0500,1.0200,1.0500,11943
2019-02-01,1.0500,1.1000,1.0000,1.0100,73424
2019-01-31,1.0875,1.0900,1.0300,1.0301,18026
2019-01-30,1.0501,1.1500,1.0501,1.1100,34318
2019-01-29,1.0000,1.0700,1.0000,1.0500,4508
2019-01-28,1.0000,1.0900,1.0000,1.0400,18519
2019-01-25,1.0900,1.0900,1.0300,1.0300,8916
2019-01-24,1.0612,1.1000,1.0300,1.0300,14197
2019-01-23,1.0025,1.1300,1.0000,1.1000,82200
2019-01-22,1.0800,1.1000,0.9600,1.0800,92322
2019-01-18,0.9940,1.3600,0.9940,1.1100,766697
2019-01-17,0.9800,0.9989,0.9800,0.9980,55659
2019-01-16,1.0000,1.0000,0.9190,1.0000,18746
2019-01-15,0.9700,1.0000,0.9454,1.0000,18460
2019-01-14,1.0000,1.0000,0.9200,0.9700,97534
2019-01-11,1.0000,1.0000,0.9500,0.9990,59572
2019-01-10,0.9350,0.9900,0.9300,0.9900,14643
2019-01-09,0.8749,0.9450,0.8749,0.9400,43229
2019-01-08,0.9450,0.9450,0.8700,0.8700,26873
2019-01-07,0.8799,0.9450,0.8500,0.9450,32217
2019-01-04,0.8600,0.9100,0.8350,0.8400,30762
2019-01-03,0.8375,0.8800,0.8100,0.8100,41583
2019-01-02,0.9000,0.9000,0.7700,0.8500,24837
2018-12-31,0.7500,0.9298,0.7500,0.9000,194563
2018-12-28,0.7900,0.8100,0.7500,0.7900,67096
2018-12-27,0.7600,0.7994,0.7600,0.7900,61404
2018-12-26,0.7627,0.8000,0.7500,0.7590,93479
2018-12-24,0.7100,0.8000,0.6400,0.7600,72889
2018-12-21,0.8500,0.8925,0.7887,0.8199,46471
2018-12-20,0.9100,0.9100,0.8100,0.8200,82104
2018-12-19,0.9620,0.9939,0.8962,0.9280,41695
2018-12-18,1.0400,1.0500,0.9550,0.9787,19247
2018-12-17,1.0500,1.0600,1.0100,1.0400,22542
2018-12-14,1.0400,1.0800,1.0000,1.0800,125866
2018-12-13,1.1000,1.1000,1.0500,1.0500,35399
2018-12-12,1.0200,1.1100,1.0200,1.1000,72043
2018-12-11,1.0500,1.2400,1.0000,1.0000,366543
2018-12-10,1.4200,1.5600,1.0000,1.0700,675124
2018-12-07,1.4700,1.4900,1.4200,1.4400,15359
2018-12-06,1.4600,1.4905,1.4600,1.4700,13437
2018-12-04,1.5400,1.5700,1.4600,1.5600,10620
2018-12-03,1.6200,1.6200,1.4600,1.5700,45811
2018-11-30,1.5700,1.6400,1.5176,1.5727,2391
2018-11-29,1.4900,1.6500,1.4900,1.5700,5656
2018-11-28,1.5100,1.6200,1.5000,1.5547,8605
2018-11-27,1.5600,1.5800,1.5310,1.5507,9225
2018-11-26,1.5928,1.6400,1.5500,1.5500,5896
2018-11-23,1.5323,1.6800,1.5200,1.5700,96936
2018-11-21,1.5800,1.5800,1.4600,1.5700,7232
2018-11-20,1.6610,1.6700,1.5600,1.5800,13125
2018-11-19,1.7062,1.7100,1.6508,1.7000,10056
2018-11-16,1.6700,1.7100,1.6281,1.7100,8533
2018-11-15,1.6900,1.6985,1.6500,1.6800,10277
2018-11-14,1.7100,1.7600,1.6900,1.6900,10272
2018-11-13,1.7000,1.7515,1.7000,1.7300,7752
