timestamp,open,high,low,close,volume
2019-03-11,5.8900,5.9000,5.6000,5.8000,16410
2019-03-08,5.8000,5.9200,5.8000,5.8500,3836
2019-03-07,5.9000,5.9065,5.8000,5.8200,23780
2019-03-06,5.7900,5.8900,5.6293,5.8000,41332
2019-03-05,5.6900,5.8800,5.6001,5.7300,13568
2019-03-04,5.7500,5.8900,5.6500,5.8620,16005
2019-03-01,5.7417,5.9190,5.7201,5.8800,5281
2019-02-28,5.8200,6.0100,5.8100,5.8100,6901
2019-02-27,5.9300,6.0100,5.7600,6.0100,26258
2019-02-26,6.0300,6.1000,5.5979,5.9501,105618
2019-02-25,4.5800,4.8200,4.5500,4.8000,19149
2019-02-22,4.5301,4.8100,4.5300,4.5728,3622
2019-02-21,4.7010,4.8700,4.5400,4.8000,15148
2019-02-20,4.7235,4.8700,4.7000,4.7000,1645
2019-02-19,4.8999,4.8999,4.8999,4.8999,1560
2019-02-15,4.5100,4.5100,4.5100,4.5100,111
2019-02-14,4.4100,4.5100,4.3200,4.5100,2911
2019-02-13,4.6507,4.9110,4.6507,4.9000,1245
2019-02-12,4.4385,4.7500,4.4385,4.7200,2077
2019-02-11,4.6100,4.6100,4.6100,4.6100,276
2019-02-08,4.4800,4.4800,4.4800,4.4800,297
2019-02-07,4.9500,4.9500,4.9500,4.9500,233
2019-02-06,4.9475,4.9475,4.9400,4.9400,2361
2019-02-05,4.6000,4.9400,4.6000,4.9400,591
2019-02-04,4.5030,4.5030,4.5030,4.5030,91
2019-02-01,4.4823,4.5030,4.4823,4.5030,2615
2019-01-31,4.3100,4.4600,4.3100,4.4600,856
2019-01-30,4.4484,4.4500,4.3100,4.3100,1129
2019-01-29,4.3100,4.3700,4.3100,4.3499,4859
2019-01-28,4.3100,4.3100,4.3100,4.3100,138
2019-01-25,4.3316,4.5500,4.3316,4.4500,1702
2019-01-24,4.5400,4.5400,4.3100,4.3100,880
2019-01-23,4.1200,4.3500,4.1200,4.3500,934
2019-01-22,4.5300,4.5400,4.5300,4.5300,455
2019-01-18,4.3100,4.5200,4.3100,4.3600,963
2019-01-17,4.5800,4.5800,4.2500,4.2500,3863
2019-01-16,4.9400,4.9667,4.5500,4.5500,2517
2019-01-15,4.3400,4.9400,4.3400,4.9400,1028
2019-01-14,4.7600,4.9400,4.3000,4.3000,2641
2019-01-11,4.2900,4.2900,4.0372,4.2800,13874
2019-01-10,4.0500,4.4300,4.0100,4.3300,21834
2019-01-09,4.2600,4.2600,4.2600,4.2600,410
2019-01-08,4.0100,4.0100,4.0100,4.0100,344
2019-01-07,4.1100,4.2705,4.0000,4.0100,5619
2019-01-04,4.2700,4.3500,4.0000,4.1200,6215
2019-01-03,4.2000,4.4600,4.0800,4.1400,10894
2019-01-02,4.0200,4.3000,3.9600,4.3000,10120
2018-12-31,4.0000,4.3700,3.9900,4.0200,52379
2018-12-28,3.7600,4.1000,3.7600,4.0500,32805
2018-12-27,3.7500,3.9601,3.7500,3.7500,18218
2018-12-26,3.8100,3.8100,3.7500,3.7500,27560
2018-12-24,3.9000,3.9117,3.7600,3.7800,9675
2018-12-21,3.8799,4.0000,3.8000,3.8900,22633
2018-12-20,3.9000,3.9259,3.8000,3.9000,32579
2018-12-19,3.8848,4.1000,3.8848,3.9500,23667
2018-12-18,4.0000,4.0400,3.8300,3.8600,33877
2018-12-17,4.2515,4.2700,4.0000,4.0300,61547
2018-12-14,4.5236,4.5236,4.4000,4.4060,16857
2018-12-13,4.6800,4.6800,4.5200,4.5200,12803
2018-12-12,4.7000,4.8500,4.6800,4.6800,8684
2018-12-11,4.8400,4.8500,4.7000,4.8500,1671
2018-12-10,4.7738,4.8550,4.6500,4.8400,24518
2018-12-07,4.9100,4.9100,4.9100,4.9100,48
2018-12-06,4.9000,4.9100,4.9000,4.9100,1276
2018-12-04,5.0300,5.0300,4.8500,4.9900,2122
2018-12-03,5.0100,5.0100,5.0000,5.0000,13888
2018-11-30,5.0100,5.0100,5.0100,5.0100,514
2018-11-29,4.7738,5.1000,4.7738,5.1000,1367
2018-11-28,5.1400,5.1400,5.1400,5.1400,116
2018-11-27,5.1000,5.1500,4.8800,5.1000,13819
2018-11-26,5.1100,5.1100,5.1100,5.1100,117
2018-11-23,5.0980,5.1400,5.0966,5.1400,1924
2018-11-21,5.1000,5.1000,4.9600,5.1000,4826
2018-11-20,5.2600,5.2600,4.9560,5.1000,14155
2018-11-19,5.3000,5.3104,5.2600,5.3000,3223
2018-11-16,5.4540,5.4540,5.2863,5.3150,8096
2018-11-15,5.5500,5.5500,5.2600,5.2600,26980
2018-11-14,5.7071,5.7071,5.5300,5.5500,5483
2018-11-13,5.2950,5.8400,5.2750,5.8400,4136
2018-11-12,5.7300,5.7300,5.7300,5.7300,201
2018-11-09,5.5000,5.6300,5.2500,5.6300,8424
2018-11-08,5.7300,5.8000,5.4240,5.6800,6064
2018-11-07,5.8400,5.9000,5.8400,5.8400,1761
2018-11-06,5.9101,5.9101,5.8400,5.9000,866
2018-11-05,5.8500,5.8700,5.8400,5.8400,782
2018-11-02,5.7700,5.9514,5.7500,5.7500,1087
2018-11-01,5.7000,5.8563,5.6190,5.8300,1609
2018-10-31,6.2100,6.3260,5.7600,5.9000,2697
2018-10-30,6.2900,6.3315,6.0000,6.0300,6714
2018-10-29,6.0213,6.7400,5.9950,6.6100,9270
2018-10-26,6.2213,6.3700,6.2200,6.2800,4501
2018-10-25,5.3500,6.8000,5.3500,6.6300,20963
2018-10-24,5.6601,5.7900,5.6501,5.7900,1236
2018-10-23,5.8027,5.8027,5.4768,5.6300,5304
2018-10-22,5.7200,5.9200,5.7000,5.8000,1164
2018-10-19,6.0400,6.2530,5.7135,5.8700,2764
2018-10-18,6.1200,6.1200,5.7820,6.0000,3982
2018-10-17,6.1600,6.1800,6.1600,6.1700,789
2018-10-16,6.1000,6.1900,5.2500,6.1900,8982
2018-10-15,6.2000,6.2279,6.1600,6.1600,3239
2018-10-12,6.2000,6.3400,6.2000,6.3400,5159
2018-10-11,6.2813,6.3700,6.2000,6.3400,9792
2018-10-10,6.3100,6.3300,6.2600,6.2600,1833
2018-10-09,6.3027,6.3400,6.3000,6.3100,1149
2018-10-08,6.3950,6.5000,6.3000,6.3000,9548
2018-10-05,6.3700,6.6800,6.3700,6.5064,1199
2018-10-04,6.5985,6.5985,6.3000,6.4100,3316
2018-10-03,6.6630,6.6630,6.5000,6.5350,3460
2018-10-02,6.6001,6.7201,6.4000,6.5800,5282
2018-10-01,6.4100,6.7800,6.3190,6.5150,2012
2018-09-28,6.9000,6.9000,6.6125,6.7000,2046
2018-09-27,6.6330,6.9500,6.2500,6.7000,7329
2018-09-26,6.6500,6.9000,6.3000,6.6500,4737
