timestamp,open,high,low,close,volume
2019-03-14,6.1200,6.1899,5.9600,6.0800,548099
2019-03-13,6.1700,6.4250,6.0501,6.1400,1005702
2019-03-12,6.1400,6.4000,6.0400,6.1600,578967
2019-03-11,5.8700,6.2799,5.8000,6.1200,953600
2019-03-08,5.9000,6.2200,5.7700,5.8900,1202236
2019-03-07,5.9900,6.0200,5.8100,5.9400,811172
2019-03-06,6.0700,6.1400,5.7900,6.0000,1309467
2019-03-05,6.4200,6.4500,6.0500,6.0800,1237724
2019-03-04,6.6100,6.7400,6.1500,6.4700,1415411
2019-03-01,5.8700,6.7300,5.7600,6.5800,3085146
2019-02-28,6.3600,6.3600,5.6000,5.7600,2779070
2019-02-27,6.9000,6.9500,6.0000,6.2100,7318738
2019-02-26,10.3500,10.3500,8.0100,8.1600,1994765
2019-02-25,11.4800,11.5400,9.4600,10.0300,2395890
2019-02-22,10.8400,11.0500,10.6600,10.9300,750679
2019-02-21,10.9500,11.2000,10.2500,10.6400,1228823
2019-02-20,10.0000,11.0900,9.9829,10.9000,1880911
2019-02-19,8.9800,10.0000,8.9000,10.0000,1158000
2019-02-15,8.8800,9.3000,8.5000,8.9800,740009
2019-02-14,8.4000,9.3772,8.2800,8.8200,1568881
2019-02-13,8.0100,8.4599,8.0100,8.3600,784768
2019-02-12,7.8800,8.3900,7.7000,7.9600,1022392
2019-02-11,7.5600,8.0300,7.4701,7.7300,354321
2019-02-08,7.5600,7.6488,7.3300,7.5400,467632
2019-02-07,7.8000,7.9155,7.2500,7.6600,613158
2019-02-06,7.8700,8.2900,7.5500,7.9000,931894
2019-02-05,7.6800,7.9190,7.5203,7.8300,746068
2019-02-04,7.5000,7.6700,7.4000,7.6700,409081
2019-02-01,7.4900,7.6700,7.3600,7.5200,522509
2019-01-31,7.3800,7.4700,7.1600,7.4600,437630
2019-01-30,7.7600,7.7600,7.1213,7.4000,804451
2019-01-29,7.2300,7.9165,7.0900,7.6800,1065389
2019-01-28,7.3900,7.4499,7.0487,7.2300,509245
2019-01-25,7.4000,7.6300,7.1000,7.5800,856627
2019-01-24,7.0400,7.4800,6.8800,7.4100,767306
2019-01-23,6.9500,7.1800,6.5100,7.0500,1056078
2019-01-22,7.2500,7.2600,6.6900,6.9100,987712
2019-01-18,6.8900,7.3600,6.8000,7.2500,965456
2019-01-17,6.8700,7.0878,6.6500,6.8500,573416
2019-01-16,7.5400,7.7000,6.7800,6.9000,921649
2019-01-15,7.3600,7.6401,7.2858,7.4200,621138
2019-01-14,7.6000,7.6060,7.1501,7.3400,878267
2019-01-11,8.0100,8.1500,7.6800,7.7000,723058
2019-01-10,8.1100,8.3500,7.5700,8.1500,1028714
2019-01-09,7.8700,8.5300,7.7000,8.2100,2090162
2019-01-08,7.6300,7.7500,7.2600,7.6000,1648686
2019-01-07,6.8000,7.8000,6.6500,7.1000,2057585
2019-01-04,6.7100,7.0700,6.4309,6.7300,1836458
2019-01-03,6.6600,6.7498,6.1600,6.5900,1300464
2019-01-02,5.6000,7.1300,5.4500,6.8700,4055423
2018-12-31,5.9800,5.9800,5.2100,5.7900,2077100
2018-12-28,6.9000,7.2500,5.7600,5.8700,7163535
2018-12-27,6.0300,9.5900,5.7500,7.0400,40233006
2018-12-26,4.7500,4.9000,4.4100,4.5800,1040624
2018-12-24,4.7800,4.9400,4.6000,4.7500,378570
2018-12-21,5.3900,5.4200,4.7750,4.8000,1062800
2018-12-20,5.9000,5.9799,5.3300,5.3700,787507
2018-12-19,6.2000,6.3100,5.5300,5.6200,614502
2018-12-18,6.6100,6.6761,6.1100,6.2000,590649
2018-12-17,6.7000,6.9050,6.4400,6.5000,350365
2018-12-14,6.7900,7.1900,6.6400,6.7500,351459
2018-12-13,7.1600,7.1800,6.7305,6.8300,416699
2018-12-12,6.9800,7.4600,6.6900,7.1300,554430
2018-12-11,7.2000,7.2234,6.3115,6.9800,1135820
2018-12-10,7.2700,7.4300,7.0300,7.1200,402663
2018-12-07,7.6200,7.7200,7.2300,7.3200,381593
2018-12-06,7.6000,7.8300,7.4100,7.6100,711056
2018-12-04,8.2700,8.3800,7.7350,7.7600,583429
2018-12-03,8.4700,8.6000,8.0943,8.3000,435939
2018-11-30,8.1100,8.2100,7.8500,8.1700,483771
2018-11-29,8.3200,8.6000,8.0800,8.1200,370006
2018-11-28,7.8300,8.4050,7.7102,8.3100,616895
2018-11-27,8.1200,8.1900,7.7200,7.7500,269963
2018-11-26,8.1100,8.2497,8.0500,8.1100,173822
2018-11-23,7.9200,8.2900,7.9200,8.0000,125288
2018-11-21,7.8500,8.1800,7.7500,8.0500,207774
2018-11-20,7.8700,8.0300,7.5400,7.8100,399053
2018-11-19,8.6600,8.6600,8.0000,8.0700,477944
2018-11-16,8.8600,8.9574,8.5800,8.7200,234269
2018-11-15,8.5600,9.0950,8.5401,8.8900,252795
2018-11-14,8.8600,9.0000,8.4600,8.5800,247311
2018-11-13,8.6600,9.2500,8.6400,8.7300,262683
2018-11-12,9.1800,9.1800,8.5200,8.6600,381204
2018-11-09,9.4100,9.4900,8.6101,9.2600,341281
2018-11-08,9.9700,9.9700,9.4000,9.5200,360487
2018-11-07,9.5700,10.2700,9.2800,10.0400,780414
2018-11-06,8.4300,9.8599,8.3254,9.4700,1375216
2018-11-05,8.6500,8.6793,8.1100,8.5100,337953
2018-11-02,9.2000,9.2000,8.4500,8.6200,431180
2018-11-01,8.1100,9.2807,8.1100,9.1800,696732
2018-10-31,8.1300,8.2899,7.3601,8.0400,919105
2018-10-30,8.4500,9.0300,8.2500,8.7900,598293
2018-10-29,8.2000,8.6000,8.0800,8.4800,474244
2018-10-26,8.5600,8.6920,7.8200,7.9400,634807
2018-10-25,8.2000,8.8800,8.1100,8.7000,527128
2018-10-24,8.6300,8.9800,8.2700,8.2700,420903
2018-10-23,8.5400,8.7800,8.0800,8.6200,397010
2018-10-22,9.0300,9.1800,8.6099,8.7000,415414
2018-10-19,9.3800,9.6500,9.0200,9.0200,361095
