Date,AAON,ABAX,ACTA,AEGR,BCOM,BOSC,CFFI,CHOP,CHRW,CRMT,DGLD,DJCO,DOX,EGHT,FCCY,FCTY,FLWS,FOLD,FTLB,FUBC,GOOG,HGSH,HTHT,IMOS,INBK,JOBS,JRJC,KOOL,MDRX,MTGE,MULT,PIH,PLCE,QABA,SATS,SRCE,TWOU,UHAL,VNET,WATT,XLRN
01/01/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2008,-0.136154554,-0.127227102,-0.094308943,,-0.019230769,-0.077669903,0.023870968,0,-0.03640416,-0.054741712,,0,0.008600237,0.134269663,0.075268817,,-0.108888889,-0.032740879,,,,,,-0.035294118,0.026415094,-0.051948052,-0.061363636,0.042168675,-0.059970015,,,,-0.104144144,,,-0.083008357,,-0.114261651,,,
03/01/2008,-0.145635674,-0.082606465,-0.089213301,,-0.00234375,-0.030612245,-0.006519714,0,-0.045913682,-0.021774194,,0,-0.013533392,0.146067416,0.084738409,,-0.13590034,-0.000985222,,,,,,-0.075829384,0.014925373,-0.046621268,-0.147884374,-0.01754386,-0.0915,,,,-0.118055556,,,-0.131482452,,-0.159053611,,,
04/01/2008,-0.140487805,-0.1003245,-0.089830508,,-0.00992,-0.045226131,0.011317196,0,-0.081771408,-0.111532625,,0,-0.035905045,0.172413793,0.02960103,,-0.186363636,-0.033589251,,,,,,-0.123515439,-0.021582734,-0.049102429,-0.229494615,-0.077380952,-0.106199187,,,,-0.11345343,,,-0.098998888,,-0.129905865,,,
07/01/2008,-0.09280397,-0.134146341,-0.08277027,,-0.019379845,0.027027027,0.012463103,0,-0.058407738,-0.087058824,,0,-0.070539419,0.174418605,0.029430582,,-0.189095128,0.016314779,,,,,,-0.095354523,0,0.022346369,-0.185368043,-0.078313253,-0.114271204,,,,-0.101246106,,,-0.000583431,,-0.078258311,,,
08/01/2008,-0.115035318,-0.106495679,-0.115384615,,-0.053846154,0.021505376,0.004437401,0,-0.126843658,-0.125095932,,0,-0.105658199,0.073684211,-0.04125,,-0.241657077,-0.010309278,,,,,,-0.156542056,0,-0.030521643,-0.208651685,-0.125,-0.139641944,,,,-0.141418055,,,-0.092388146,,-0.087532349,,,
09/01/2008,-0.03514377,-0.063866513,-0.051258993,,-0.009619934,0.026315789,-0.036777743,0,-0.071442363,-0.088116411,,-0.054545455,-0.102004717,0,0.011875,,-0.152119701,0.051606621,,,,,,-0.110565111,-0.011029412,-0.068722944,-0.133012048,-0.127906977,-0.147697194,,,,-0.116673395,,-0.000620732,0.015700483,,0.001111464,,,
10/01/2008,0.007295174,-0.002541655,-0.03164557,,-0.021539683,0.026315789,0.048192771,0.003603604,-0.063249516,-0.082372323,,-0.024242424,0.006031363,0,-0.0525,,-0.113182423,0.076076076,,,,,,-0.054404145,-0.007352941,-0.093047035,-0.015267176,0.202453988,-0.099889625,,,,-0.207916667,,-0.116571429,0.033639144,,0.096245286,,,
11/01/2008,-0.052987599,0.099036725,-0.07281106,,-0.071653543,0.078947368,0.031400192,0.003603604,-0.060582063,-0.055459272,,-0.024242424,0.017241379,-0.066666667,-0.0497543,,-0.085872576,0.07421875,,,,,,-0.02972973,-0.007352941,-0.049863014,-0.07025641,0.259493671,-0.086070215,,,,-0.269943941,,-0.13830955,-0.020232986,,0.042987552,,,
14/01/2008,-0.046840959,0.15948814,-0.065943993,,-0.02595296,0.108508085,0.001565435,0.003603604,-0.043512658,-0.057264957,,-0.041939394,0.049075844,-0.029411765,0.010430248,,-0.018571429,0.036121673,,,,,,-0.00802139,-0.007352941,-0.028882834,-0.011532125,0.324675325,-0.062857143,,,,-0.258859118,,-0.055068836,-0.034342258,,0.075745495,,,
15/01/2008,-0.02978236,0.185973701,-0.056190476,,-0.028901734,0.111111111,-0.029375,0.003603604,0.00800843,-0.047120419,,-0.047710843,0.07145177,0.078431373,-0.042618901,,0.00739645,-0.012206573,,,,,,-0.048648649,-0.02173913,-0.023836549,-0.113176599,0.428571429,-0.040548599,,,,-0.273097826,,-0.042893726,0.02829582,,0.109149008,,,
16/01/2008,-0.052602126,0.15751938,-0.047169811,,-0.023424879,0.020512821,-0.043181112,-0.001795332,0.029628073,-0.034635879,,-0.018136646,0.013257576,0.059405941,0.022427441,,0.045925926,-0.006529851,,,,,,-0.016620499,-0.018518519,0.044378698,-0.208219178,0.290322581,0.038125,,,,-0.227830189,,-0.039400847,0.029589372,,0.108781127,,,
17/01/2008,-0.090602138,0.055254913,-0.098020735,,-0.044262295,0.020512821,-0.01503353,-0.001795332,-0.015176715,-0.003626473,,-0.018136646,-0.039817629,0.128712871,-0.080155139,,0.021148036,-0.011959522,,,,,,-0.057377049,-0.018518519,-0.076749436,-0.312433581,0.015384615,-0.035163479,,,,-0.159198735,,-0.027208599,-0.024506874,,-0.00755287,,,
18/01/2008,-0.066431511,-0.027181299,-0.078431373,,0.000832639,0.099447514,-0.037800687,-0.001795332,0.01208837,0.009165903,,0.113360324,-0.065210977,0.13,-0.031633312,,0.018126888,-0.023701003,,,,,,-0.044568245,-0.018518519,-0.006857143,-0.316073355,-0.102439024,-0.028395062,,,,-0.061151079,,-0.086984127,-0.033374536,,0.043861028,,,
21/01/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2008,-0.023809524,-0.049770084,-0.080550098,,-0.011754828,0.015463918,-0.02991811,-0.001795332,-0.010020877,-0.061930783,,0.113360324,-0.049447174,0.080808081,-0.032258065,,-0.020618557,-0.003738318,,,,,,-0.088075881,-0.051851852,-0.066515065,-0.294389821,-0.125,-0.048297214,,,,-0.082746479,,-0.042666667,0.004297115,,0.010262602,,,
23/01/2008,0.058718861,-0.048287025,-0.015212982,,-0.013547841,-0.02,-0.005167959,0.001801802,0.06670849,-0.012003693,,0.019989879,-0.003333333,-0.018348624,-0.035483871,,0.038348083,0.027488152,,,,,,-0.017191977,-0.033962264,-0.032691185,-0.247096774,-0.134328358,-0.038653367,,,,0.072772898,,-0.023728814,0.195734003,,0.021732523,,,
24/01/2008,-0.013513514,-0.126203209,-0.060157791,,-0.026143791,-0.110552764,0.000324675,0,0.018427518,0,,0.019989879,0.064395123,0.04587156,0.147601476,,0.026760563,-0.018726592,,,,,,0.002824859,-0.033962264,0.068330362,0.033793103,-0.081632653,-0.087009063,,,,0.083076923,,-0.020353687,0.038461538,,0.01146216,,,
25/01/2008,0.053217822,-0.108737332,-0.027282267,,0.02739726,-0.050251256,0,0,0.055520102,0.025524157,,-0.089545455,0.034645669,0.081081081,0.026373626,,0.114413076,-0.001872659,,,,,,0.011428571,-0.033962264,0,0.309090909,-0.172413793,-0.035301669,,,,0.048094941,,0.062677054,0.076593137,,0.038976857,,,
28/01/2008,0.124919511,-0.046091015,0.051254089,,0.031841652,0.116959064,-0.022730446,0,0.072266041,0.120772947,,0.090681818,0.082706767,0.110091743,-0.098,,0.180555556,0.022857143,,,,,,0.065671642,0.015625,0.073214286,0.549481621,0.017751479,0.036472149,,,,0.156992084,,0.127717391,0.232650364,,0.099497014,,,
29/01/2008,0.055319149,-0.011304348,0.033991228,,0.027350427,0.116959064,-0.041233766,0,0.09386437,0.139720559,,0.190523443,0.028741018,0.247524752,-0.130434783,,0.152337858,-0.001893939,,,,,,0.080838323,0.015625,0.123839009,0.402678571,-0.005882353,0.047968021,,,,0.156927118,,-0.025172414,0.157107232,,0.063273728,,,
